,Word,Word.1,hits,misses,correct rejections,false alarms,acc,false_alarm_rate,hit_rate,num_synonyms,num_ratings_synonyms,num_meanings,num_ratings_meanings,word_upper,word,arousal,concrete,fam,image,valence,pos,num_meanings_wordnet,num_synonyms_wordnet,Lg10WF,Lg10CD,google_ngram_frequency,LgTV_T=1700,LgDF,orth_neighborhood,phon_neighborhood,log_orth_neighborhood,log_phon_neighborhood,GloVe distinctiveness
202,CHANDLER,CHANDLER,70,15,75,15,0.8285714285714286,0.1666666666666666,0.8235294117647058,0.0588235294117647,17.0,1.263157894736842,19.0,CHANDLER,CHANDLER,2.5,3.53846153846154,2.82142857142857,2.68,3.17857142857143,n,3,5,2.8756,2.1584,-12.69753748092068,,,2.0,2.0,1.0986122886681098,1.0986122886681098,0.10802155234508085
203,CELLULAR,CELLULAR,70,15,84,7,0.875,0.0769230769230769,0.8235294117647058,1.037037037037037,27.0,1.862068965517241,29.0,CELLULAR,CELLULAR,2.27272727272727,3.38461538461538,4.68965517241379,3.74074074074074,3.55172413793103,a,2,2,2.1644,2.0492,-10.8836156985821,1.915696,4.077537,0.0,1.0,0.0,0.6931471805599453,0.07539774119261929
204,WHIPLASH,WHIPLASH,65,14,76,10,0.8545454545454545,0.1162790697674418,0.8227848101265823,0.9,20.0,1.3333333333333333,27.0,WHIPLASH,WHIPLASH,4.3,3.44,4.62962962962963,2.91666666666667,1.5,n,2,5,1.959,1.6335,-14.770516405981088,,,0.0,0.0,0.0,0.0,0.09805795391937575
205,BOA,BOA,60,13,68,12,0.8366013071895425,0.15,0.821917808219178,0.9,20.0,1.75,24.0,BOA,BOA,3.85714285714286,4.32,4.32142857142857,4.76,2.81481481481481,n,2,3,1.8261,1.415,-14.17090117697042,0.829279,1.791759,18.0,13.0,2.9444389791664403,2.6390573296152584,0.08381387503802927
206,DISCO,DISCO,69,15,86,7,0.8757062146892656,0.075268817204301,0.8214285714285714,0.5833333333333334,24.0,1.7407407407407407,27.0,DISCO,DISCO,3.55555555555556,3.35714285714286,4.82142857142857,4.22727272727273,3.7037037037037,n,3,5,2.4698,2.1875,-13.603639718046043,,,3.0,5.0,1.3862943611198906,1.791759469228055,0.09509715298163243
207,AMISH,AMISH,69,15,88,9,0.8674033149171271,0.0927835051546391,0.8214285714285714,0.04,25.0,1.1538461538461535,26.0,AMISH,AMISH,2.18181818181818,3.73076923076923,4.53571428571429,4.4,3.42857142857143,n,1,1,1.959,1.6721,-12.96227403936664,0.965081,2.397895,1.0,0.0,0.6931471805599453,0.0,0.11831277062034208
208,SLOTH,SLOTH,55,12,62,8,0.8540145985401459,0.1142857142857142,0.8208955223880597,1.2962962962962965,27.0,2.1785714285714284,28.0,SLOTH,SLOTH,1.39130434782609,4.2962962962963,4.53846153846154,4.5,2.60714285714286,n,3,7,1.8751,1.3979,-14.17372633779209,,,3.0,3.0,1.3862943611198906,1.3862943611198906,0.11157962385799793
209,GARBAGE,GARBAGE,55,12,59,13,0.8201438848920863,0.1805555555555555,0.8208955223880597,3.724137931034482,29.0,1.6296296296296295,27.0,GARBAGE,GARBAGE,1.875,4.16,5.0,4.75,1.67857142857143,n,3,7,3.1245,2.9309,-12.09585946141648,2.710824,5.105945,1.0,0.0,0.6931471805599453,0.0,0.13256248103102783
210,KIMCHI,KIMCHI,55,12,81,3,0.9006622516556292,0.0357142857142857,0.8208955223880597,0.2941176470588235,17.0,1.0,17.0,KIMCHI,KIMCHI,2.375,3.72,2.75,3.23076923076923,3.40740740740741,,0,0,1.415,1.2553,-15.170300661216828,,,,,,,0.08414229423318498
211,NEWTON,NEWTON,55,12,57,15,0.8057553956834532,0.2083333333333333,0.8208955223880597,0.1071428571428571,28.0,1.9259259259259256,27.0,NEWTON,NEWTON,2.66666666666667,3.88,4.16666666666667,2.96428571428571,3.46428571428571,n,2,5,2.2833,1.8976,-11.489694256007503,2.178532,4.94876,0.0,0.0,0.0,0.0,0.09517979427446355
212,OGRE,OGRE,64,14,79,8,0.8666666666666667,0.0919540229885057,0.8205128205128205,1.7647058823529411,17.0,1.2692307692307692,26.0,OGRE,OGRE,3.6,3.44,4.2962962962963,4.29166666666667,1.82142857142857,n,2,6,1.8573,1.4472,-14.19607425479912,1.203973,1.609438,3.0,6.0,1.3862943611198906,1.9459101490553128,0.1096488721329271
213,METAPHYSICS,METAPHYSICS,64,14,85,7,0.8764705882352941,0.0760869565217391,0.8205128205128205,0.2,20.0,1.0,28.0,METAPHYSICS,METAPHYSICS,3.41666666666667,2.24,3.92592592592593,1.55555555555556,3.07407407407407,n,1,1,1.0414,1.0,-11.973853795488504,0.847298,2.772589,,,,,0.08430688589282732
214,AVALANCHE,AVALANCHE,64,14,74,8,0.8625,0.0975609756097561,0.8205128205128205,0.391304347826087,23.0,1.4074074074074074,27.0,AVALANCHE,AVALANCHE,4.5,4.57142857142857,4.85185185185185,4.69565217391304,1.71428571428571,n,3,4,2.2405,1.7404,-13.180798038724651,2.593387,3.178054,0.0,0.0,0.0,0.0,0.10531900506821117
215,PHOEBE,PHOEBE,73,16,87,3,0.8938547486033519,0.0333333333333333,0.8202247191011236,0.04,25.0,1.2307692307692308,26.0,PHOEBE,PHOEBE,2.70833333333333,3.72,3.8,2.17857142857143,3.25925925925926,n,3,16,3.3326,2.3579,-12.776726436689229,1.475907,3.295837,0.0,3.0,0.0,1.3862943611198906,0.08628884826400399
216,WINE,WINE,73,16,84,15,0.8351063829787234,0.1515151515151515,0.8202247191011236,1.0,19.0,1.4074074074074074,27.0,WINE,WINE,3.45,4.8,5.0,4.70833333333333,4.07142857142857,n,4,7,3.4884,3.1816,-10.074721125741666,2.653829,5.501258,23.0,34.0,3.1780538303479458,3.555348061489413,0.10449895456998498
217,PREDECESSORS,PREDECESSORS,59,13,69,12,0.8366013071895425,0.1481481481481481,0.8194444444444444,1.2962962962962965,27.0,1.1428571428571428,28.0,PREDECESSORS,PREDECESSORS,2.52173913043478,2.81481481481481,4.45833333333333,2.16666666666667,3.10714285714286,n,2,6,1.415,1.3617,-12.364825412311117,2.685577,3.610918,1.0,1.0,0.6931471805599453,0.6931471805599453,0.09384222051261218
