,word_upper,word_lower,word_lower_no_article,article,syntactic_category,category,subcategory_1,subcategory_2,subcategory_3,acc,hits,misses,correct_rejections,false_alarms,false_alarm_rate,hit_rate,# meanings (human),# synonyms (human),Log Subtlex frequency,Log Subtlex CD,Google n-gram frequency,Concreteness,Imageability,Familiarity,Valence,Arousal,num_ratings_meanings,num_ratings_synonyms,multi_word
75,THE EUPHRATES RIVER,the euphrates river,euphrates river,the,NOUN,earth formation,water,river,famous,0.8531073446327684,62,24,89,2,0.0219780219780219,0.7209302325581395,1.0,0.0,,,-15.984568671173744,4.58620689655172,3.80769230769231,3.43333333333333,3.2,3.18181818181818,28.0,22.0,1.0
76,A CASHEW,a cashew,cashew,a,NOUN,food,nut,,,0.8611111111111112,69,19,86,6,0.0652173913043478,0.7840909090909091,1.1,0.4615384615384615,1.0792,0.9031,-18.30375776434389,4.86206896551724,4.69230769230769,4.76666666666667,4.04,2.40909090909091,30.0,26.0,1.0
77,JOHN QUINCY ADAMS,john quincy adams,john quincy adams,,NOUN,famous people,US President,,,0.8571428571428571,52,15,68,5,0.0684931506849315,0.7761194029850746,1.103448275862069,0.0,,,-15.149742544212284,4.72413793103448,4.42307692307692,3.96551724137931,3.56,2.81818181818182,29.0,26.0,1.0
78,LIPS,lips,lips,,NOUN,human body,external,,,0.8685714285714285,64,21,88,2,0.0222222222222222,0.7529411764705882,1.6666666666666667,0.8148148148148148,3.2017,3.0249,-9.66162671196849,4.72413793103448,4.92307692307692,4.9,3.88,4.14285714285714,30.0,27.0,0.0
79,UNBIASED,unbiased,unbiased,,ADJ,,,,,0.774390243902439,47,32,80,5,0.0588235294117647,0.5949367088607594,1.1724137931034482,2.576923076923077,1.2041,1.2041,-13.094991220831178,1.3448275862069,1.5,4.5,3.8,2.13636363636364,29.0,26.0,0.0
80,TO LEVEL,to level,level,to,VERB,,,,,0.7467532467532467,44,30,71,9,0.1125,0.5945945945945946,1.933333333333333,2.32,3.4206,3.2017,-13.774216507261846,2.79310344827586,2.73076923076923,4.56666666666667,3.04166666666667,2.95454545454545,30.0,25.0,1.0
81,BARRY SANDERS,barry sanders,barry sanders,,NOUN,famous people,Sports,,,0.7828947368421053,39,32,80,1,0.0123456790123456,0.5492957746478874,1.0357142857142858,0.04,,,-18.24484797674751,4.60714285714286,4.26923076923077,3.23333333333333,3.2,3.04545454545455,28.0,25.0,1.0
82,TO REDEEM,to redeem,redeem,to,VERB,,,,,0.7307692307692307,38,26,57,9,0.1363636363636363,0.59375,1.6666666666666667,2.423076923076923,1.9243,1.8633,-13.697641500755113,1.96428571428571,1.88,4.46666666666667,4.04,3.09090909090909,30.0,26.0,1.0
83,OBTAINABLE,obtainable,obtainable,,ADJ,,,,,0.6363636363636364,24,39,60,9,0.1304347826086956,0.3809523809523809,1.2142857142857142,2.8076923076923075,,,-13.557846099511602,2.07142857142857,1.46153846153846,4.43333333333333,3.84,3.14285714285714,28.0,26.0,0.0
84,DISTURBING,disturbing,disturbing,,ADJ,,,,,0.6756756756756757,45,24,55,24,0.3037974683544304,0.6521739130434783,1.6,3.68,2.6665,2.6042,-11.790149592648266,1.58620689655172,2.12,4.73333333333333,1.48,3.95454545454545,30.0,25.0,0.0
85,TO PLUCK,to pluck,pluck,to,VERB,,,,,0.792,42,17,57,9,0.1363636363636363,0.711864406779661,1.5666666666666669,2.1666666666666665,2.0755,1.9777,-14.57176772788318,3.03571428571429,3.53846153846154,4.43333333333333,2.68,3.5,30.0,24.0,1.0
86,TO PUTTER,to putter,putter,to,VERB,,,,,0.7358490566037735,48,30,69,12,0.1481481481481481,0.6153846153846154,1.3076923076923077,2.363636363636364,1.8513,1.5682,-17.95146135982412,2.27586206896552,2.11538461538462,3.83333333333333,3.28,1.90909090909091,26.0,22.0,1.0
87,A PANDA,a panda,panda,a,NOUN,living things,animal,mammal,,0.832258064516129,53,20,76,6,0.073170731707317,0.726027397260274,1.1333333333333333,0.5384615384615384,2.0374,1.5798,-16.751763879034144,4.82758620689655,4.92307692307692,4.7,4.12,3.52380952380952,30.0,26.0,1.0
88,A GREAT-GRANDFATHER,a great-grandfather,great-grandfather,a,NOUN,family relations,,,,0.8313253012048193,62,16,76,12,0.1363636363636363,0.7948717948717948,1.1333333333333333,0.7777777777777778,,,-18.11911037855081,3.93103448275862,4.11538461538461,4.56666666666667,4.2,2.31818181818182,30.0,27.0,1.0
89,A ROASTING PAN,a roasting pan,roasting pan,a,NOUN,household item,kitchen item,food preparation,,0.8520710059171598,63,18,81,7,0.0795454545454545,0.7777777777777778,1.1333333333333333,1.0384615384615383,,,-16.219504127761862,4.62068965517241,4.65384615384615,4.63333333333333,3.4,2.13636363636364,30.0,26.0,1.0
